index, id, class, gender, _pos
0,1,2BIO3,M,"array([-0.26325303,  0.33099884])"
1,2,PC*,M,"array([-1.05164111,  0.05127502])"
2,3,2BIO2,M,"array([-0.25987021,  0.2733351 ])"
3,4,PSI*,M,"array([-0.10653457,  0.31683176])"
4,9,PC,M,"array([-0.16007418,  0.3548344 ])"
5,14,PC*,M,"array([-0.19247253,  0.35858682])"
6,15,PC,M,"array([-0.13530512,  0.36090406])"
7,20,MP*1,M,"array([-0.09357276,  0.25714767])"
8,21,PC,M,"array([-0.13331999,  0.39476134])"
9,27,2BIO2,M,"array([-0.23345288,  0.25733768])"
10,28,2BIO2,M,"array([-0.25561679,  0.25374361])"
11,32,PSI*,M,"array([-0.14395465,  0.32342488])"
12,34,MP,Unknown,"array([-0.14033259,  0.21766664])"
13,38,MP,M,"array([-0.13247993,  0.22938947])"
14,39,2BIO3,F,"array([-0.25973958,  0.31515652])"
15,41,MP,Unknown,"array([-0.11217564,  0.24973081])"
16,45,PC,F,"array([-0.16729122,  0.33015783])"
17,46,2BIO2,F,"array([-0.29328139,  0.29578813])"
18,47,PSI*,F,"array([-0.0978835 ,  0.33981749])"
19,48,PC,M,"array([-0.16744098,  0.3417651 ])"
20,54,MP,M,"array([-0.11828644,  0.22306457])"
21,55,2BIO3,F,"array([-0.22589113,  0.31698953])"
22,58,PC*,Unknown,"array([-0.19195732,  0.37636064])"
23,61,2BIO2,F,"array([-0.27225083,  0.28556635])"
24,62,2BIO1,F,"array([-0.32618516,  0.16141443])"
25,63,2BIO3,F,"array([-0.20857307,  0.29196247])"
26,65,2BIO1,M,"array([-0.2278349,  0.2312598])"
27,70,2BIO3,F,"array([-0.23372077,  0.26897994])"
28,71,PC,M,"array([-0.13164237,  0.38694177])"
29,72,2BIO1,F,"array([-0.22197634,  0.25239635])"
30,79,PC,F,"array([-0.15957715,  0.33471079])"
31,80,PC,F,"array([-0.12165189,  0.36894556])"
32,85,PC*,F,"array([-0.1946722 ,  0.34126448])"
33,87,PC,F,"array([-0.16667868,  0.38437656])"
34,89,PC,M,"array([-0.1481536 ,  0.36276584])"
35,90,PSI*,M,"array([-0.10331077,  0.31006304])"
36,92,PC,M,"array([-0.14514092,  0.37932167])"
37,101,2BIO3,F,"array([-0.23757272,  0.29935108])"
38,103,MP*1,M,"array([-0.14893921,  0.19147497])"
39,106,2BIO3,F,"array([-0.21707034,  0.28911087])"
40,111,2BIO1,F,"array([-0.25126292,  0.23304388])"
41,115,PC*,M,"array([-0.20779533,  0.36247573])"
42,116,PC*,M,"array([-0.21330792,  0.36802876])"
43,117,2BIO3,M,"array([-0.24610015,  0.30751038])"
44,119,2BIO3,F,"array([-0.21979015,  0.27887284])"
45,120,PC,F,"array([-0.14199604,  0.34473163])"
46,122,2BIO3,F,"array([-0.22771997,  0.2775429 ])"
47,124,2BIO1,F,"array([-0.2445938,  0.229017 ])"
48,125,PSI*,F,"array([-0.12029454,  0.3144604 ])"
49,131,PC*,M,"array([-0.16687469,  0.35166831])"
50,132,2BIO3,F,"array([-0.22544665,  0.26940929])"
51,134,PC,F,"array([-0.17010246,  0.37169476])"
52,145,2BIO1,F,"array([-0.26533622,  0.22163025])"
53,147,2BIO2,M,"array([-0.25348936,  0.26632031])"
54,149,MP*1,M,"array([-0.031418  ,  0.22824534])"
55,151,MP,M,"array([-0.11303606,  0.2117806 ])"
56,156,MP,F,"array([-0.12178322,  0.21341889])"
57,159,MP,M,"array([-0.10594528,  0.19637239])"
58,160,2BIO2,F,"array([-0.28029633,  0.28206055])"
59,165,2BIO2,F,"array([-0.3064027 ,  0.20273515])"
60,170,2BIO3,F,"array([-0.23247386,  0.32417414])"
61,171,2BIO2,M,"array([-0.25928741,  0.24111853])"
62,172,PC,F,"array([-0.12237682,  0.35243558])"
63,173,2BIO2,F,"array([-0.2118206 ,  0.26016583])"
64,176,PC*,F,"array([-0.20968794,  0.35557288])"
65,177,2BIO1,F,"array([-0.22601725,  0.23763481])"
66,179,2BIO3,F,"array([-0.20171563,  0.28669978])"
67,181,PC*,M,"array([-0.21799022,  0.37337274])"
68,184,2BIO2,M,"array([-0.26492254,  0.2670846 ])"
69,185,PC*,M,"array([-0.21869537,  0.36074401])"
70,190,PC*,M,"array([-0.20776162,  0.33853099])"
71,194,PC,M,"array([-0.13300226,  0.34582566])"
72,196,2BIO3,M,"array([-0.26185173,  0.30726894])"
73,199,2BIO3,F,"array([-0.21827155,  0.29758136])"
74,200,PC,M,"array([-0.13840809,  0.37605375])"
75,201,MP,M,"array([-0.13148048,  0.21472996])"
76,202,2BIO3,F,"array([-0.20695336,  0.29987412])"
77,205,2BIO3,M,"array([-0.23413399,  0.31484418])"
78,209,PC*,Unknown,"array([-0.19007825,  0.39904819])"
79,210,PC,F,"array([-0.13449785,  0.35334146])"
80,211,PC,F,"array([-0.13053702,  0.36774902])"
81,213,PC*,F,"array([-0.21818297,  0.34533076])"
82,214,PC*,F,"array([-0.22692315,  0.35559572])"
83,219,MP,M,"array([-0.10242143,  0.23576564])"
84,220,MP,M,"array([-0.12423538,  0.20530017])"
85,222,PC*,F,"array([-0.20310445,  0.42532514])"
86,226,2BIO2,F,"array([-0.28214583,  0.27037192])"
87,227,PSI*,M,"array([-0.13377348,  0.3294601 ])"
88,232,PC,F,"array([-0.15080446,  0.36731631])"
89,236,MP*1,M,"array([-0.04624646,  0.25528789])"
90,239,2BIO2,F,"array([-0.29933344,  0.28257544])"
91,240,2BIO3,F,"array([-0.23912567,  0.29109144])"
92,241,PSI*,M,"array([-0.11349509,  0.33614312])"
93,242,PC,F,"array([-0.13115352,  0.37520577])"
94,243,MP,Unknown,"array([-0.12726514,  0.22225798])"
95,245,MP,F,"array([-0.13458157,  0.24415339])"
96,246,PSI*,M,"array([-0.07463526,  0.35178166])"
97,248,PSI*,M,"array([-0.08405706,  0.33880742])"
98,252,2BIO3,F,"array([-0.24322028,  0.31552869])"
99,253,PC,M,"array([-0.11643079,  0.37803468])"
100,254,PC*,M,"array([-0.19338748,  0.36604312])"
101,255,2BIO3,F,"array([-0.23465475,  0.27759223])"
102,256,PC*,M,"array([-0.18559346,  0.36722486])"
