# index, id, class, gender, _pos
0,1,2BIO3,M,"array([11.40184437, -1.27225835])"
1,2,PC*,M,"array([-17.96779111, -42.79180434])"
2,3,2BIO2,M,"array([15.62895954, -0.74343181])"
3,4,PSI*,M,"array([ 4.15520682, 25.9189952 ])"
4,9,PC,M,"array([-24.00181397,   8.9223781 ])"
5,14,PC*,M,"array([-26.05510776,  35.69238748])"
6,15,PC,M,"array([-12.38094174,  57.30856669])"
7,20,MP*1,M,"array([-11.89920845,  23.12974331])"
8,21,PC,M,"array([-22.89600813, -18.03611497])"
9,27,2BIO2,M,"array([13.55173534, -6.54957783])"
10,28,2BIO2,M,"array([20.2033011 , -0.58776846])"
11,32,PSI*,M,"array([  8.70358743, -25.24341691])"
12,34,MP,Unknown,"array([ -1.15737961, -17.73684256])"
13,38,MP,M,"array([ -2.39841872, -20.04471275])"
14,39,2BIO3,F,"array([42.87480224, 43.47754571])"
15,41,MP,Unknown,"array([ 66.28985524, -24.49100991])"
16,45,PC,F,"array([20.13017435, -9.14553209])"
17,46,2BIO2,F,"array([10.03338562,  6.63583221])"
18,47,PSI*,F,"array([-37.91965369,  18.30815642])"
19,48,PC,M,"array([20.46523048, -6.28462807])"
20,54,MP,M,"array([  2.50536771, -49.60504855])"
21,55,2BIO3,F,"array([ 9.84541112, -1.1387058 ])"
22,58,PC*,Unknown,"array([  0.05518803, -42.14759677])"
23,61,2BIO2,F,"array([  9.75268369, -28.87709931])"
24,62,2BIO1,F,"array([-51.19057627, -19.77225517])"
25,63,2BIO3,F,"array([ 11.64643521, -11.14636403])"
26,65,2BIO1,M,"array([25.10642611, 33.00983363])"
27,70,2BIO3,F,"array([24.19720417,  8.6758293 ])"
28,71,PC,M,"array([ 36.40533417, -42.40949506])"
29,72,2BIO1,F,"array([13.56201191,  0.45430058])"
30,79,PC,F,"array([21.44385809, -9.81748847])"
31,80,PC,F,"array([ 26.87120331, -14.34797552])"
32,85,PC*,F,"array([ 15.68052612, -13.70554982])"
33,87,PC,F,"array([56.24355941, 38.8837767 ])"
