V1,V2
1,4
1,5
1,6
1,7
1,11
1,17
1,46
2,3
2,13
2,55
2,16
2,18
2,56
2,54
3,55
3,15
3,17
3,18
3,57
4,5
4,19
5,6
5,7
5,8
5,11
5,13
5,16
6,7
7,58
7,8
7,10
7,15
8,10
8,16
8,59
8,54
9,10
9,59
10,12
10,16
10,18
10,59
11,16
11,19
12,55
12,56
13,14
13,16
14,16
15,57
15,42
16,18
17,18
18,44
19,50
20,23
20,24
20,25
20,26
20,29
20,34
21,22
21,31
21,32
21,33
21,60
22,32
22,61
22,34
22,60
22,46
23,24
24,25
24,26
24,27
24,29
24,31
24,33
25,26
26,27
26,28
26,61
27,28
27,33
27,62
28,30
28,33
28,60
28,62
29,33
30,32
31,33
32,36
33,60
34,60
35,38
35,39
35,42
36,37
36,43
36,44
36,63
37,63
38,39
38,40
38,42
38,43
38,44
39,40
39,41
40,41
40,44
41,44
41,63
42,44
43,44
44,63
45,48
45,49
45,52
46,47
46,53
46,54
46,64
47,64
48,49
48,50
48,52
48,53
48,54
49,50
49,51
50,51
50,54
51,54
51,64
52,54
53,54
54,64
