# index, id, class, gender, _pos
0,1,2BIO3,M,"array([ -8.32833182, -25.91951395])"
1,2,PC*,M,"array([14.36245107, 72.80912786])"
2,3,2BIO2,M,"array([-23.55995433,  17.81518066])"
3,4,PSI*,M,"array([26.12635941, -4.51520936])"
4,9,PC,M,"array([-30.06010363,  45.89765603])"
5,14,PC*,M,"array([-47.07142133,  55.28172798])"
6,15,PC,M,"array([24.25079372, 33.78350818])"
7,20,MP*1,M,"array([-7.10738085,  9.46073374])"
8,21,PC,M,"array([24.33387008, 31.53181388])"
9,27,2BIO2,M,"array([-34.41795191,  58.69821289])"
10,28,2BIO2,M,"array([-26.67425077,  17.45378609])"
11,32,PSI*,M,"array([-27.81120408,  62.24388179])"
12,34,MP,Unknown,"array([57.72572024,  8.37097228])"
13,38,MP,M,"array([-16.06738405,  62.04049714])"
14,39,2BIO3,F,"array([-54.76710189,  -3.1459364 ])"
15,41,MP,Unknown,"array([ 20.6481563 , -32.66455065])"
16,45,PC,F,"array([17.70393532, 39.74852384])"
17,46,2BIO2,F,"array([53.1989313 , -7.61980245])"
18,47,PSI*,F,"array([44.51284574, 43.29618861])"
19,48,PC,M,"array([19.99144   , 39.10812341])"
20,54,MP,M,"array([30.03891133, 59.09364979])"
21,55,2BIO3,F,"array([19.91159436, -7.2234693 ])"
22,58,PC*,Unknown,"array([ 2.7147356 , -3.07482458])"
23,61,2BIO2,F,"array([-58.65580424,  -9.96996321])"
24,62,2BIO1,F,"array([-21.28917547,   2.77246813])"
25,63,2BIO3,F,"array([ 37.03535954, -20.4086888 ])"
26,65,2BIO1,M,"array([-32.07070782,  14.24595123])"
27,70,2BIO3,F,"array([51.83080453, 41.95631391])"
28,71,PC,M,"array([-54.50290769, -16.5207396 ])"
29,72,2BIO1,F,"array([-48.73805527,  43.83530052])"
30,79,PC,F,"array([15.80827208, 38.26626832])"
31,80,PC,F,"array([40.92718616, -2.83192523])"
32,85,PC*,F,"array([ 5.54498392, 55.61177725])"
33,87,PC,F,"array([20.57022025, 36.29199584])"
