# index, id, class, gender, _pos
0,1,2BIO3,M,"array([19.40388442, 17.62930442])"
1,2,PC*,M,"array([62.37102723, 27.49154319])"
2,3,2BIO2,M,"array([19.73954348, 14.12120871])"
3,4,PSI*,M,"array([ 26.71695117, -15.17626978])"
4,9,PC,M,"array([23.06206268, 20.69630864])"
5,14,PC*,M,"array([12.09074093, 26.04374304])"
6,15,PC,M,"array([-10.99357012,  38.84775588])"
7,20,MP*1,M,"array([17.59721997, 32.47285823])"
8,21,PC,M,"array([-4.55449973, 47.21191445])"
9,27,2BIO2,M,"array([61.00608177, 34.39895852])"
10,28,2BIO2,M,"array([10.52010066, 52.39489487])"
11,32,PSI*,M,"array([51.02528287,  4.16494439])"
12,34,MP,Unknown,"array([19.42384727, 30.42335127])"
13,38,MP,M,"array([16.8556652 , 30.72154695])"
14,39,2BIO3,F,"array([ 15.71721225, -11.38636566])"
15,41,MP,Unknown,"array([-13.50304416,  17.2038363 ])"
16,45,PC,F,"array([46.29177758, 45.9346532 ])"
17,46,2BIO2,F,"array([52.20619396,  9.60484004])"
18,47,PSI*,F,"array([50.23723928, 37.34128457])"
19,48,PC,M,"array([34.03573652, 61.66188048])"
20,54,MP,M,"array([25.7417326 , -4.81982155])"
21,55,2BIO3,F,"array([20.31991787, 19.56110698])"
22,58,PC*,Unknown,"array([  4.38768619, -18.7320496 ])"
23,61,2BIO2,F,"array([-13.96937281,  44.58406372])"
24,62,2BIO1,F,"array([11.08799135, 16.54732699])"
25,63,2BIO3,F,"array([13.15807151, 20.86623856])"
26,65,2BIO1,M,"array([13.95308501, 22.07046448])"
27,70,2BIO3,F,"array([14.80694885, 15.68243278])"
28,71,PC,M,"array([37.71591587, 53.59975891])"
29,72,2BIO1,F,"array([ 36.11671391, -10.61798612])"
30,79,PC,F,"array([44.49362843,  1.98098691])"
31,80,PC,F,"array([14.96915933, 11.05134334])"
32,85,PC*,F,"array([26.01897003, 18.70514948])"
33,87,PC,F,"array([57.58300617, 23.82698749])"
34,89,PC,M,"array([-28.50547922,  14.55330246])"
35,90,PSI*,M,"array([ 17.59498574, -26.68781315])"
36,92,PC,M,"array([-7.06691061,  1.54590516])"
37,101,2BIO3,F,"array([16.72733632, 20.88968662])"
38,103,MP*1,M,"array([39.35347993, 59.02682178])"
39,106,2BIO3,F,"array([19.56359628, 21.01216203])"
40,111,2BIO1,F,"array([21.02194856, 14.81129489])"
41,115,PC*,M,"array([16.34352663, 64.85035065])"
42,116,PC*,M,"array([25.24277713, 32.24375308])"
43,117,2BIO3,M,"array([18.22517085, 19.18930882])"
44,119,2BIO3,F,"array([16.07157926, 17.02441694])"
45,120,PC,F,"array([52.74418727, 15.61463852])"
46,122,2BIO3,F,"array([14.17849333, 16.95838127])"
47,124,2BIO1,F,"array([22.36820904, 14.84901358])"
48,125,PSI*,F,"array([25.08590435, 28.49502454])"
49,131,PC*,M,"array([55.99870219, -5.81862964])"
50,132,2BIO3,F,"array([15.8563775, 15.1818447])"
51,134,PC,F,"array([-14.28588989,  34.89620772])"
52,145,2BIO1,F,"array([13.40217613, 18.76641487])"
53,147,2BIO2,M,"array([18.68450525, 14.55975086])"
54,149,MP*1,M,"array([19.62121969, 24.44971122])"
55,151,MP,M,"array([18.81306265, 30.94076863])"
56,156,MP,F,"array([18.67917545, 29.67631344])"
57,159,MP,M,"array([18.02794945, 26.97103012])"
58,160,2BIO2,F,"array([  1.84698191, -11.54617441])"
59,165,2BIO2,F,"array([-10.26866434,  48.89544303])"
60,170,2BIO3,F,"array([19.29301496, 19.22074728])"
61,171,2BIO2,M,"array([19.34106821, 15.65074888])"
62,172,PC,F,"array([-23.540492  ,  23.54319105])"
63,173,2BIO2,F,"array([ 24.2390386 , -26.11593006])"
64,176,PC*,F,"array([-3.8418887 , -2.69069361])"
65,177,2BIO1,F,"array([43.14835601, 11.16598109])"
66,179,2BIO3,F,"array([ 8.88614841, 13.64246788])"
67,181,PC*,M,"array([17.11095473, 24.89855124])"
68,184,2BIO2,M,"array([13.74007873, 15.93044596])"
69,185,PC*,M,"array([44.47787161, 55.76814564])"
70,190,PC*,M,"array([22.26866279, 21.81718178])"
71,194,PC,M,"array([24.77784836, 33.38744449])"
72,196,2BIO3,M,"array([17.41428332, 18.48811141])"
73,199,2BIO3,F,"array([35.99788187,  1.23661204])"
74,200,PC,M,"array([-17.97685387,  31.22417359])"
75,201,MP,M,"array([19.95350309, 26.86843013])"
76,202,2BIO3,F,"array([17.22681558, 20.35142497])"
77,205,2BIO3,M,"array([18.91465179, 18.34149143])"
78,209,PC*,Unknown,"array([25.98914209, 58.29781053])"
79,210,PC,F,"array([20.05060291, 59.138653  ])"
80,211,PC,F,"array([-16.23108385,  -3.17412381])"
81,213,PC*,F,"array([24.21718296, 21.34737865])"
82,214,PC*,F,"array([25.08550979, 20.29374103])"
83,219,MP,M,"array([13.92660839, 30.36125234])"
84,220,MP,M,"array([-5.89924409, 36.2293148 ])"
85,222,PC*,F,"array([27.25948966, 52.59950448])"
