From,To
1,4
1,8
1,9
1,10
1,11
1,12
1,14
1,15
1,17
1,22
1,23
1,24
1,28
2,9
2,17
2,19
2,25
2,29
3,5
3,6
3,9
3,18
3,25
3,30
3,31
3,32
4,10
4,12
4,16
4,20
4,24
4,33
4,34
5,9
5,12
5,18
5,20
5,30
5,28
6,18
6,35
7,17
7,18
7,24
7,33
7,31
7,26
7,35
8,10
8,16
8,36
9,17
9,31
9,28
10,11
10,12
10,13
10,14
10,15
10,17
10,22
10,23
10,24
10,33
10,25
10,31
10,26
11,12
11,26
12,13
12,14
12,17
12,18
12,22
12,23
12,33
13,14
13,17
13,21
13,23
13,31
13,34
14,24
15,17
15,34
16,22
16,34
17,19
17,31
17,34
17,37
18,20
18,26
19,20
19,30
19,38
19,29
19,32
20,30
21,30
22,33
22,31
22,37
23,25
23,31
24,33
24,31
24,26
24,36
25,31
26,27
26,36
27,35
39,40
39,44
39,47
39,49
39,50
39,51
39,52
39,53
39,54
39,56
39,58
39,62
39,65
39,66
40,41
40,52
40,54
40,55
40,70
40,67
40,71
41,45
41,51
41,58
41,61
41,67
42,43
42,46
42,47
42,48
42,55
42,72
42,73
43,46
43,47
43,51
43,60
43,70
43,67
43,71
43,68
43,69
43,72
44,49
44,52
44,54
44,57
44,63
44,66
44,74
44,73
45,61
46,51
46,54
46,60
46,62
46,63
46,68
46,69
47,60
47,75
48,58
48,60
48,66
48,74
48,71
48,69
49,50
49,52
49,57
49,58
49,71
49,73
49,75
50,52
50,57
50,76
51,58
51,62
51,71
52,53
52,54
52,55
52,56
52,58
52,65
52,66
52,74
52,67
52,71
52,69
53,54
53,69
54,55
54,56
54,58
54,60
54,65
54,74
55,56
55,58
55,64
55,71
55,73
56,66
57,65
57,73
58,59
58,61
58,66
58,71
58,73
59,65
59,69
59,73
60,63
60,69
61,77
61,63
61,70
61,68
61,69
62,66
63,68
63,73
64,68
65,74
65,71
66,74
66,71
66,69
66,76
67,71
68,72
69,72
69,76
5,73
7,60
10,50
30,57
20,62
21,64
40,44
46,78
