"V1"	"V2"	"V3"	"V4"	"V5"
3.49	6.5525	2.6925	6.22625	3.945
5.112531875	5.945036375	4.588193125	5.501549875	3.380280875
5.98875	5.940625	5.6675	5.9625	5.3575
4.336096375	7.04375	6.88360597925	5.956518875	4.770141625
4.50636775	7.0725	6.49	6.29784	4.99502425
4.41940525	7.041591875	6.846219375	6.22766125	4.78430925
4.227071	6.885554125	6.7836285	6.210653125	4.767093625
4.001944625	6.77326375	7.147697875	6.68846375	5.523626375
4.314800625	6.614521625	7.178597375	6.52343	5.69920225
4.93104225	6.384797125	6.445337625	6.545464375	5.17640975
4.936013625	6.51599725	7.46192	6.223381	5.807650375
5.03875	7.215781125	7.61125	7.13840575	6.412808125
5.0725	7.128007125	7.14	6.885672625	6.29343225
5.19125	6.90592525	7.55375	6.963711	6.8049715
5.59	7.01180925	7.38375	7.008179625	7.016317
6.085	6.858442125	7.38375	7.024337875	7.3097135
5.883056125	6.6035075	6.850173	6.57125	6.835
5.8628035	6.503715875	6.867179875	6.405	6.465
6.68325575	6.728847875	6.654606375	6.790713875	6.09625
6.128451	6.38709225	7.364408	6.585953	6.3933333335
6.17635725	6.488872	7.4147245	6.28764925	6.50340475
8.844	7.402	8.301	7.578	6.694
7.889	4.987	6.985	5.655	6.683
7.603	5.546	5.384	5.963	6.617
7.576	6.093	5.342	7.012	6.041
7.525	6.268	5.602	7.37	5.767
6.949	6.372	5.6185	6.7765	5.6595
6.967	6.614	5.383	6.975	5.452
6.789	6.709	5.4	7.084	5.232
5.925	6.725	5.403	6.889	5.269
5.835	6.242	5.009	6.811	5.125
5.31833333333333	6.42	5.41	6.58666666666667	5.52166666666667
5.3725	6.62	5.955	6.98	6.315
5.6575	7.065	5.9575	6.835	5.6175
5.4625	6.7675	6.07	6.9675	5.55
5.3925	6.915	6.44	6.9025	6.1375
6.395	7.485	6.995	7.075	6.255
