Unnamed: 0	source	target	id	type	time	retweet_count	reply_count	like_count	quote_count	platform	year	number_years
19	IC2S2	IC2S2	1498679310034608145	mentioned	2022-03-01 15:19:26+00:00	0	0	1	0	Twitter Web App	2022.0	8.0
46	ingmarweber	ComuneLab	1450735562361643012	mentioned	2021-10-20 08:08:06+00:00	2	0	20	1	Twitter Web App	2021.0	9.0
64	kwelle	zkmkarlsruhe	1433822360235352069	mentioned	2021-09-03 16:01:04+00:00	1	0	6	0	Hootsuite Inc.	2021.0	9.0
85	marc_smith	sgonzalezbailon	1431644024054722564	mentioned	2021-08-28 15:45:08+00:00	0	0	1	0	Hootsuite Inc.	2021.0	7.0
87	marc_smith	docmattweber	1431644024054722564	mentioned	2021-08-28 15:45:08+00:00	0	0	1	0	Hootsuite Inc.	2021.0	7.0
88	marc_smith	Ognyanova	1431644024054722564	mentioned	2021-08-28 15:45:08+00:00	0	0	1	0	Hootsuite Inc.	2021.0	7.0
89	marc_smith	iPhiloSophia1	1431644024054722564	mentioned	2021-08-28 15:45:08+00:00	0	0	1	0	Hootsuite Inc.	2021.0	7.0
100	ricgallotti	sgonzalezbailon	1430904180365922304	mentioned	2021-08-26 14:45:16+00:00	0	0	1	0	Hootsuite Inc.	2021.0	6.0
102	ricgallotti	docmattweber	1430904180365922304	mentioned	2021-08-26 14:45:16+00:00	0	0	1	0	Hootsuite Inc.	2021.0	6.0
103	ricgallotti	Ognyanova	1430904180365922304	mentioned	2021-08-26 14:45:16+00:00	0	0	1	0	Hootsuite Inc.	2021.0	6.0
104	ricgallotti	iPhiloSophia1	1430904180365922304	mentioned	2021-08-26 14:45:16+00:00	0	0	1	0	Hootsuite Inc.	2021.0	6.0
112	richardfbetzel	zkmkarlsruhe	1430153029660123150	mentioned	2021-08-24 13:00:27+00:00	4	0	7	1	Hootsuite Inc.	2021.0	6.0
113	richardfbetzel	barabasi	1430153029660123150	mentioned	2021-08-24 13:00:27+00:00	4	0	7	1	Hootsuite Inc.	2021.0	6.0
115	richardfbetzel	SoodiMilanlouei	1430153029660123150	mentioned	2021-08-24 13:00:27+00:00	4	0	7	1	Hootsuite Inc.	2021.0	6.0
144	thilogross	docmattweber	1428827956915449856	mentioned	2021-08-20 21:15:05+00:00	2	0	3	0	Hootsuite Inc.	2021.0	3.0
147	iniguezg	sgonzalezbailon	1428802791661842438	mentioned	2021-08-20 19:35:06+00:00	0	0	0	0	Hootsuite Inc.	2021.0	6.0
149	iniguezg	docmattweber	1428802791661842438	mentioned	2021-08-20 19:35:06+00:00	0	0	0	0	Hootsuite Inc.	2021.0	6.0
150	iniguezg	Ognyanova	1428802791661842438	mentioned	2021-08-20 19:35:06+00:00	0	0	0	0	Hootsuite Inc.	2021.0	6.0
151	iniguezg	iPhiloSophia1	1428802791661842438	mentioned	2021-08-20 19:35:06+00:00	0	0	0	0	Hootsuite Inc.	2021.0	6.0
154	bansallab	zkmkarlsruhe	1428356158423592970	mentioned	2021-08-19 14:00:20+00:00	2	0	7	0	Hootsuite Inc.	2021.0	7.0
155	bansallab	barabasi	1428356158423592970	mentioned	2021-08-19 14:00:20+00:00	2	0	7	0	Hootsuite Inc.	2021.0	7.0
177	Ognyanova	zkmkarlsruhe	1425079695046025217	mentioned	2021-08-10 13:00:50+00:00	0	0	4	0	Hootsuite Inc.	2021.0	9.0
189	elaragon	IC2S2	1421392207131594755	mentioned	2021-07-31 08:48:05+00:00	8	2	25	0	Twitter Web App	2021.0	8.0
204	juniperlov	zkmkarlsruhe	1420730863613091845	mentioned	2021-07-29 13:00:08+00:00	2	0	9	0	Hootsuite Inc.	2021.0	5.0
207	juniperlov	barabasi	1420730863613091845	mentioned	2021-07-29 13:00:08+00:00	2	0	9	0	Hootsuite Inc.	2021.0	5.0
222	IUNetSci	IC2S2	1420324318702030851	quoted	2021-07-28 10:04:40+00:00	0	0	26	0	Twitter Web App	2021.0	7.0
230	iacopoiacopini	gesis_org	1420309410916745220	mentioned	2021-07-28 09:05:26+00:00	36	1	45	3	Twitter Web App	2021.0	6.0
232	vcolizza	IC2S2	1420307728979869700	mentioned	2021-07-28 08:58:45+00:00	2	2	15	0	Twitter Web App	2021.0	5.0
234	vcolizza	indiiigosky	1420307728979869700	mentioned	2021-07-28 08:58:45+00:00	2	2	15	0	Twitter Web App	2021.0	5.0
237	OSoMe_IU	IC2S2	1420287993089253379	mentioned	2021-07-28 07:40:19+00:00	3	1	9	0	Twitter Web App	2021.0	8.0
238	OSoMe_IU	indiiigosky	1420287993089253379	mentioned	2021-07-28 07:40:19+00:00	3	1	9	0	Twitter Web App	2021.0	8.0
247	NZdanowska	IC2S2	1419927363589185539	mentioned	2021-07-27 07:47:19+00:00	4	0	8	0	TweetDeck	2021.0	4.0
265	dinacmistry	IC2S2	1417772121313484803	mentioned	2021-07-21 09:03:09+00:00	10	0	21	0	Twitter Web App	2021.0	5.0
319	netsci2020	barabasi	1411244978072952836	replied_to	2021-07-03 08:46:37+00:00	0	0	2	0	Twitter Web App	2021.0	3.0
328	PiratePeel	barabasi	1409859419081424896	mentioned	2021-06-29 13:00:54+00:00	0	0	2	0	Hootsuite Inc.	2021.0	8.0
329	PiratePeel	GysiDeisy	1409859419081424896	mentioned	2021-06-29 13:00:54+00:00	0	0	2	0	Hootsuite Inc.	2021.0	8.0
332	MKawakatsu	barabasi	1409496917919338500	mentioned	2021-06-28 13:00:27+00:00	1	0	3	0	Hootsuite Inc.	2021.0	3.0
333	MKawakatsu	martino_design	1409496917919338500	mentioned	2021-06-28 13:00:27+00:00	1	0	3	0	Hootsuite Inc.	2021.0	3.0
334	MKawakatsu	robysinatra	1409496917919338500	mentioned	2021-06-28 13:00:27+00:00	1	0	3	0	Hootsuite Inc.	2021.0	3.0
335	MKawakatsu	mszll	1409496917919338500	mentioned	2021-06-28 13:00:27+00:00	1	0	3	0	Hootsuite Inc.	2021.0	3.0
336	MKawakatsu	dashunwang	1409496917919338500	mentioned	2021-06-28 13:00:27+00:00	1	0	3	0	Hootsuite Inc.	2021.0	3.0
353	vedransekara	zkmkarlsruhe	1407322872545038338	mentioned	2021-06-22 13:01:34+00:00	3	0	7	0	Hootsuite Inc.	2021.0	6.0
355	vedransekara	barabasi	1407322872545038338	mentioned	2021-06-22 13:01:34+00:00	3	0	7	0	Hootsuite Inc.	2021.0	6.0
357	vedransekara	SoodiMilanlouei	1407322872545038338	mentioned	2021-06-22 13:01:34+00:00	3	0	7	0	Hootsuite Inc.	2021.0	6.0
358	jrncarlock	zkmkarlsruhe	1406960473677910021	mentioned	2021-06-21 13:01:31+00:00	0	0	3	0	Hootsuite Inc.	2021.0	5.0
361	jrncarlock	barabasi	1406960473677910021	mentioned	2021-06-21 13:01:31+00:00	0	0	3	0	Hootsuite Inc.	2021.0	5.0
369	svscarpino	Networks2021	1405979739806961665	quoted	2021-06-18 20:04:26+00:00	3	0	10	0	Twitter for iPhone	2021.0	6.0
370	yy	martino_design	1405873595902054405	mentioned	2021-06-18 13:02:39+00:00	0	0	2	0	Hootsuite Inc.	2021.0	11.0
371	yy	barabasi	1405873595902054405	mentioned	2021-06-18 13:02:39+00:00	0	0	2	0	Hootsuite Inc.	2021.0	11.0
372	yy	baruchbarzel	1405873595902054405	mentioned	2021-06-18 13:02:39+00:00	0	0	2	0	Hootsuite Inc.	2021.0	11.0
