source	target	id	type	time	retweet_count	reply_count	like_count	quote_count	platform
IsaacAnzu	DakodaGames	1531967218287886336	mentioned	2022-06-01 11:53:42+00:00	0	2	2	1	Twitter for Android
mathsmalltalk	CompleNet	1531961714396241923	mentioned	2022-06-01 11:31:49+00:00	0	1	0	0	Twitter Web App
PosiTroll	KyivIndependent	1531954060777119745	replied_to	2022-06-01 11:01:25+00:00	0	1	7	0	Twitter Web App
DanishDebater	jcamachott	1531950315783716868	replied_to	2022-06-01 10:46:32+00:00	0	0	0	0	Twitter for Android
DanishDebater	MikaelKrauze	1531950315783716868	replied_to	2022-06-01 10:46:32+00:00	0	0	0	0	Twitter for Android
DanishDebater	JacksonWheat1	1531950315783716868	replied_to	2022-06-01 10:46:32+00:00	0	0	0	0	Twitter for Android
james_e_b_	1883Of	1531950029606375426	replied_to	2022-06-01 10:45:23+00:00	0	2	6	0	Twitter Web App
Ewoodtser	Kulgaviy_Joe	1531940730272456704	replied_to	2022-06-01 10:08:26+00:00	1	0	2	0	Twitter Web App
Ewoodtser	OldVillageD	1531940730272456704	replied_to	2022-06-01 10:08:26+00:00	1	0	2	0	Twitter Web App
Ewoodtser	dw_russian	1531940730272456704	replied_to	2022-06-01 10:08:26+00:00	1	0	2	0	Twitter Web App
climaths	LondMathSoc	1531929288554979330	mentioned	2022-06-01 09:22:58+00:00	0	0	0	0	Twitter Web App
climaths	UniofReading	1531929288554979330	mentioned	2022-06-01 09:22:58+00:00	0	0	0	0	Twitter Web App
semperfigulus	BristOliver	1531928455759245318	replied_to	2022-06-01 09:19:40+00:00	0	0	5	0	Twitter for Android
mlaranja	Transform4Value	1531928400314650624	mentioned	2022-06-01 09:19:27+00:00	1	0	3	0	LinkedIn
Geo_X_	FU_Berlin	1531924555572314112	mentioned	2022-06-01 09:04:10+00:00	0	0	5	0	Twitter Web App
Geo_X_	GFZ_Potsdam	1531924555572314112	mentioned	2022-06-01 09:04:10+00:00	0	0	5	0	Twitter Web App
Geo_X_	unipotsdam	1531924555572314112	mentioned	2022-06-01 09:04:10+00:00	0	0	5	0	Twitter Web App
Geo_X_	MpiciPotsdam	1531924555572314112	mentioned	2022-06-01 09:04:10+00:00	0	0	5	0	Twitter Web App
