source	target	id	type	time	retweet_count	reply_count	like_count	quote_count	platform
gvegayon	UUtah	1527405796736217090	mentioned	2022-05-19 21:48:14+00:00	1	0	7	0	Twitter Web App
gvegayon	twvalente	1527405796736217090	mentioned	2022-05-19 21:48:14+00:00	1	0	7	0	Twitter Web App
_jgyou	netsci2022	1519002982158852098	mentioned	2022-04-26 17:18:27+00:00	26	0	71	2	Twitter Web App
dse_msu	IC2S2	1518792519558987776	mentioned	2022-04-26 03:22:09+00:00	0	0	10	0	Twitter Web App
daconjam	daconjam	1518458028261089283	quoted	2022-04-25 05:13:00+00:00	0	0	0	0	Twitter for iPhone
daconjam	lhaochen	1518458028261089283	quoted	2022-04-25 05:13:00+00:00	0	0	0	0	Twitter for iPhone
daconjam	tangjiliang	1518458028261089283	quoted	2022-04-25 05:13:00+00:00	0	0	0	0	Twitter for iPhone
Physacourses	lhaochen	1518451083969978369	mentioned	2022-04-25 04:45:24+00:00	0	0	2	1	Twitter Web App
Physacourses	tangjiliang	1518451083969978369	mentioned	2022-04-25 04:45:24+00:00	0	0	2	1	Twitter Web App
barabasi	Gfalbery	1517457062220992513	mentioned	2022-04-22 10:55:31+00:00	8	0	9	1	Twitter Web App
ComuneLab	BarabasiLab	1514969564769050634	mentioned	2022-04-15 14:11:05+00:00	1	0	5	0	Twitter Web App
ComuneLab	Boston	1514969564769050634	mentioned	2022-04-15 14:11:05+00:00	1	0	5	0	Twitter Web App
BarabasiLab	net_science	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	netscisociety	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	YR_CSS	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	NUnetsi	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	cxdig	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	official_SYNS	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	complexitatcat	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	CSLab_UPF	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	sfiscience	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	ISCPIF	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	IFISC_mallorca	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	winter_complex	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	UB_ICS	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	UniPadova	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
BarabasiLab	MscxNetworks	1514524184365436929	quoted	2022-04-14 08:41:18+00:00	5	0	7	0	Twitter for Android
SMLabTO	peter_weibel	1514257465847779334	mentioned	2022-04-13 15:01:28+00:00	1	0	3	0	Hootsuite Inc.
bod0ng	zkmkarlsruhe	1513532492912996354	mentioned	2022-04-11 15:00:41+00:00	3	2	6	0	Hootsuite Inc.
MencheLab	zkmkarlsruhe	1513170001196457986	mentioned	2022-04-10 15:00:16+00:00	2	0	6	0	Hootsuite Inc.
csspenn	Communalytic	1511746530885124097	mentioned	2022-04-06 16:43:54+00:00	4	0	0	0	TweetDeck
luyibov	LT_UMN	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
luyibov	XinranZ1	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
luyibov	shui_hong	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
