source	target	id	type	time	retweet_count	reply_count	like_count	quote_count	platform
smr_foundation	HirokiSayama	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	NetSciX2020	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	pholme	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	mtknnktm	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	CarolinaMttssn	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	cyberagent_ai	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	lshlj	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	LHDnets	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	GuiFdeArruda	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
smr_foundation	DrCCostelloe	1221156680177766404	mentioned	2020-01-25 19:43:35+00:00	7	0	14	2	Hootsuite Inc.
2019NetSci	HirokiSayama	1219048720018432002	mentioned	2020-01-20 00:07:18+00:00	7	0	27	0	Twitter for Android
PaoloBarucca	svscarpino	1177566088013471744	replied_to	2019-09-27 12:50:08+00:00	0	0	1	0	Twitter Web App
PaoloBarucca	juniperlov	1177566088013471744	replied_to	2019-09-27 12:50:08+00:00	0	0	1	0	Twitter Web App
PaoloBarucca	NUnetsi	1177566088013471744	replied_to	2019-09-27 12:50:08+00:00	0	0	1	0	Twitter Web App
PaoloBarucca	Northeastern	1177566088013471744	replied_to	2019-09-27 12:50:08+00:00	0	0	1	0	Twitter Web App
PaoloBarucca	uvmvermont	1177566088013471744	replied_to	2019-09-27 12:50:08+00:00	0	0	1	0	Twitter Web App
PaoloBarucca	uvmcomplexity	1177566088013471744	replied_to	2019-09-27 12:50:08+00:00	0	0	1	0	Twitter Web App
