source	target	id	type	time	retweet_count	reply_count	like_count	quote_count	platform
gvegayon	UUtah	1527405796736217090	mentioned	2022-05-19 21:48:14+00:00	1	0	7	0	Twitter Web App
gvegayon	twvalente	1527405796736217090	mentioned	2022-05-19 21:48:14+00:00	1	0	7	0	Twitter Web App
_jgyou	netsci2022	1519002982158852098	mentioned	2022-04-26 17:18:27+00:00	26	0	71	2	Twitter Web App
barabasi	Gfalbery	1517457062220992513	mentioned	2022-04-22 10:55:31+00:00	8	0	9	1	Twitter Web App
BarabasiLab	BarabasiLab	1514969564769050634	mentioned	2022-04-15 14:11:05+00:00	1	0	5	0	Twitter Web App
BarabasiLab	Boston	1514969564769050634	mentioned	2022-04-15 14:11:05+00:00	1	0	5	0	Twitter Web App
SMLabTO	peter_weibel	1514257465847779334	mentioned	2022-04-13 15:01:28+00:00	1	0	3	0	Hootsuite Inc.
bod0ng	zkmkarlsruhe	1513532492912996354	mentioned	2022-04-11 15:00:41+00:00	3	2	6	0	Hootsuite Inc.
MencheLab	zkmkarlsruhe	1513170001196457986	mentioned	2022-04-10 15:00:16+00:00	2	0	6	0	Hootsuite Inc.
cosnet_bifi	Communalytic	1511746530885124097	mentioned	2022-04-06 16:43:54+00:00	4	0	0	0	TweetDeck
NetworkAutomata	LT_UMN	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
NetworkAutomata	XinranZ1	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
NetworkAutomata	shui_hong	1507397148668796978	replied_to	2022-03-25 16:41:00+00:00	0	1	4	0	TweetDeck
artistJaneAdams	arikan	1487902362236821504	mentioned	2022-01-30 21:35:41+00:00	22	2	98	3	Twitter Web App
manlius84	Communalytic	1486851634428661764	mentioned	2022-01-28 00:00:28+00:00	2	1	2	0	TweetDeck
milan_janosov	netscisociety	1485994591979544583	mentioned	2022-01-25 15:14:53+00:00	33	2	71	2	Twitter Web App
PhMai	netscisociety	1485862477187682304	mentioned	2022-01-25 06:29:55+00:00	0	1	1	0	Twitter Web App
PhMai	cosnet_bifi	1485862477187682304	mentioned	2022-01-25 06:29:55+00:00	0	1	1	0	Twitter Web App
PhMai	barabasi	1485862477187682304	mentioned	2022-01-25 06:29:55+00:00	0	1	1	0	Twitter Web App
PhMai	GuidoCaldarelli	1485862477187682304	mentioned	2022-01-25 06:29:55+00:00	0	1	1	0	Twitter Web App
PhMai	spornslab	1485862477187682304	mentioned	2022-01-25 06:29:55+00:00	0	1	1	0	Twitter Web App
NetfrixP	philipvollet	1478441036439379968	mentioned	2022-01-04 18:59:45+00:00	12	0	31	0	TweetDeck
RutgersCommInfo	izebuphamalai	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
RutgersCommInfo	MencheLab	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
RutgersCommInfo	Lab_Nagy	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
RutgersCommInfo	CeMM_News	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
RutgersCommInfo	MaxPerutzLabs	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
RutgersCommInfo	WWTF	1456661473682501632	mentioned	2021-11-05 16:35:33+00:00	2	1	2	1	TweetDeck
SpeenDoctor_	masonporter	1455955054066733064	mentioned	2021-11-03 17:48:29+00:00	7	0	16	0	Twitter Web App
SpeenDoctor_	AWMmath	1455955054066733064	mentioned	2021-11-03 17:48:29+00:00	7	0	16	0	Twitter Web App
SpeenDoctor_	WiNS_Society	1455955054066733064	mentioned	2021-11-03 17:48:29+00:00	7	0	16	0	Twitter Web App
DiverseInAI	sara_picorana	1453787625827880962	mentioned	2021-10-28 18:15:54+00:00	2	0	8	0	Twitter Web App
DiverseInAI	codydunne	1453787625827880962	mentioned	2021-10-28 18:15:54+00:00	2	0	8	0	Twitter Web App
